src_ip,dst_ip,src_port,dst_port,protocol,packet_length
0.0.0.0,255.255.255.255,68.0,67.0,17,342
172.17.103.167,224.0.0.251,5353.0,5353.0,17,370
172.17.103.167,224.0.0.251,5353.0,5353.0,17,87
172.17.103.24,239.255.255.250,58841.0,1900.0,17,183
172.17.96.202,224.0.0.251,5353.0,5353.0,17,472
172.17.100.196,224.0.0.251,5353.0,5353.0,17,448
172.17.103.128,224.0.0.251,5353.0,5353.0,17,469
172.17.96.59,224.0.0.251,5353.0,5353.0,17,466
172.17.101.242,224.0.0.251,5353.0,5353.0,17,466
172.17.99.80,224.0.0.251,5353.0,5353.0,17,436
172.17.98.242,224.0.0.251,5353.0,5353.0,17,434
172.17.102.86,224.0.0.251,5353.0,5353.0,17,660
172.17.102.17,224.0.0.251,5353.0,5353.0,17,481
172.17.102.114,224.0.0.251,5353.0,5353.0,17,463
172.17.103.223,224.0.0.251,5353.0,5353.0,17,467
172.17.101.209,224.0.0.251,5353.0,5353.0,17,472
172.17.97.119,224.0.0.251,5353.0,5353.0,17,464
172.17.97.115,224.0.0.251,5353.0,5353.0,17,475
172.17.100.71,172.17.103.212,7680.0,57900.0,6,58
172.17.100.71,172.17.98.54,7680.0,51186.0,6,58
172.17.103.167,224.0.0.251,5353.0,5353.0,17,87
172.17.98.179,224.0.0.251,5353.0,5353.0,17,234
172.17.98.179,224.0.0.251,5353.0,5353.0,17,93
172.17.98.54,172.17.100.71,51186.0,7680.0,6,60
172.17.103.212,172.17.100.71,57900.0,7680.0,6,60
172.17.97.120,224.0.0.251,5353.0,5353.0,17,461
172.17.101.79,224.0.0.251,5353.0,5353.0,17,457
172.17.100.199,224.0.0.251,5353.0,5353.0,17,473
172.17.102.200,239.255.255.250,49402.0,1900.0,17,216
172.17.98.240,239.255.255.250,53100.0,1900.0,17,179
172.17.98.240,239.255.255.250,53107.0,1900.0,17,179
172.17.103.167,224.0.0.251,5353.0,5353.0,17,87
172.17.98.179,224.0.0.251,5353.0,5353.0,17,93
0.0.0.0,255.255.255.255,68.0,67.0,17,364
172.17.98.110,239.255.255.250,60661.0,1900.0,17,216
172.17.96.174,224.0.0.252,53197.0,5355.0,17,79
172.17.96.191,224.0.0.251,5353.0,5353.0,17,75
172.17.103.167,224.0.0.251,5353.0,5353.0,17,436
172.17.103.167,224.0.0.251,5353.0,5353.0,17,378
172.17.98.179,224.0.0.251,5353.0,5353.0,17,93
172.17.102.86,224.0.0.251,5353.0,5353.0,17,93
0.0.0.0,255.255.255.255,68.0,67.0,17,360
3.233.158.25,172.17.100.71,443.0,63214.0,6,78
3.233.158.25,172.17.100.71,443.0,63214.0,6,60
172.17.100.71,3.233.158.25,63214.0,443.0,6,54
172.64.148.235,172.17.100.71,443.0,50060.0,6,78
172.17.100.71,172.64.148.235,50060.0,443.0,6,82
172.64.148.235,172.17.100.71,443.0,50060.0,6,60
172.17.98.179,224.0.0.251,5353.0,5353.0,17,299
172.17.98.179,224.0.0.251,5353.0,5353.0,17,235
172.17.97.101,224.0.0.251,5353.0,5353.0,17,460
172.17.96.174,224.0.0.252,53197.0,5355.0,17,79
172.17.102.86,224.0.0.251,5353.0,5353.0,17,1231
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.99.178,224.0.0.251,5353.0,5353.0,17,201
172.17.99.178,224.0.0.251,5353.0,5353.0,17,82
172.17.97.118,239.255.255.250,62392.0,1900.0,17,216
172.17.96.202,224.0.0.251,5353.0,5353.0,17,472
172.17.98.242,224.0.0.251,5353.0,5353.0,17,272
172.17.100.71,172.17.96.1,59846.0,53.0,17,71
172.17.100.71,172.17.96.1,60902.0,53.0,17,71
172.17.100.71,172.64.155.209,60853.0,443.0,6,7882
172.17.100.71,172.64.155.209,60853.0,443.0,6,544
172.17.96.1,172.17.100.71,53.0,60902.0,17,103
172.17.96.1,172.17.100.71,53.0,59846.0,17,132
172.64.155.209,172.17.100.71,443.0,60853.0,6,60
172.64.155.209,172.17.100.71,443.0,60853.0,6,60
172.64.155.209,172.17.100.71,443.0,60853.0,6,60
172.64.155.209,172.17.100.71,443.0,60853.0,6,60
172.17.96.174,224.0.0.252,57671.0,5355.0,17,79
172.17.99.151,224.0.0.251,5353.0,5353.0,17,82
172.17.99.151,224.0.0.251,5353.0,5353.0,17,82
172.17.99.178,224.0.0.251,5353.0,5353.0,17,82
172.17.99.151,239.255.255.250,65058.0,1900.0,17,183
172.64.155.209,172.17.100.71,443.0,60853.0,6,399
172.64.155.209,172.17.100.71,443.0,60853.0,6,385
172.64.155.209,172.17.100.71,443.0,60853.0,6,85
172.17.100.71,172.64.155.209,60853.0,443.0,6,54
172.17.100.71,172.64.155.209,60853.0,443.0,6,89
172.64.155.209,172.17.100.71,443.0,60853.0,6,60
172.17.98.110,239.255.255.250,60661.0,1900.0,17,216
172.17.96.38,239.255.255.250,53319.0,1900.0,17,216
172.17.99.178,224.0.0.251,5353.0,5353.0,17,82
172.17.101.242,224.0.0.251,5353.0,5353.0,17,466
172.17.96.174,224.0.0.252,57671.0,5355.0,17,79
172.17.103.128,224.0.0.251,5353.0,5353.0,17,469
172.17.101.209,224.0.0.251,5353.0,5353.0,17,472
172.17.99.178,224.0.0.251,5353.0,5353.0,17,255
172.17.99.178,224.0.0.251,5353.0,5353.0,17,202
172.17.100.196,224.0.0.251,5353.0,5353.0,17,448
172.17.100.20,239.255.255.250,2200.0,2200.0,17,405
172.17.97.118,239.255.255.250,62392.0,1900.0,17,216
172.17.102.184,224.0.0.251,5353.0,5353.0,17,75
172.17.96.38,239.255.255.250,53319.0,1900.0,17,216
172.17.100.71,142.250.183.164,53203.0,443.0,17,71
142.250.183.164,172.17.100.71,443.0,53203.0,17,72
4.213.25.242,172.17.100.71,443.0,49409.0,6,432
172.17.100.71,4.213.25.242,49409.0,443.0,6,187
4.213.25.242,172.17.100.71,443.0,49409.0,6,60
172.17.103.24,239.255.255.250,58841.0,1900.0,17,183
172.17.97.164,172.17.103.255,52765.0,51007.0,17,186
172.17.96.202,172.17.103.255,138.0,138.0,17,220
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.98.242,224.0.0.251,5353.0,5353.0,17,272
172.17.96.218,224.0.0.251,5353.0,5353.0,17,100
172.17.97.118,239.255.255.250,62392.0,1900.0,17,216
172.17.100.71,104.18.26.48,52458.0,443.0,6,55
104.18.26.48,172.17.100.71,443.0,52458.0,6,66
172.17.99.151,224.0.0.251,5353.0,5353.0,17,508
3.111.241.224,172.17.100.71,443.0,57086.0,6,64
172.17.100.71,3.111.241.224,57086.0,443.0,6,54
172.17.98.242,172.17.103.255,57621.0,57621.0,17,86
172.17.98.242,172.17.103.255,57621.0,57621.0,17,86
172.17.98.242,239.255.255.250,54094.0,1900.0,17,171
172.17.102.184,224.0.0.251,5353.0,5353.0,17,75
172.17.98.242,239.255.255.250,49460.0,1900.0,17,171
172.17.96.38,239.255.255.250,53319.0,1900.0,17,216
172.17.100.71,172.64.148.235,50060.0,443.0,6,144
172.64.148.235,172.17.100.71,443.0,50060.0,6,60
172.17.98.242,224.0.0.251,5353.0,5353.0,17,87
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.64.148.235,172.17.100.71,443.0,50060.0,6,133
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.100.71,172.64.148.235,50060.0,443.0,6,54
172.17.96.218,224.0.0.251,5353.0,5353.0,17,1304
172.17.97.118,239.255.255.250,62392.0,1900.0,17,216
172.17.99.151,239.255.255.250,65058.0,1900.0,17,183
172.17.96.38,239.255.255.250,53319.0,1900.0,17,216
172.17.103.46,224.0.0.251,5353.0,5353.0,17,100
172.17.101.160,224.0.0.251,5353.0,5353.0,17,806
172.17.101.160,224.0.0.251,5353.0,5353.0,17,93
172.17.100.1,239.255.255.250,58360.0,1900.0,17,183
172.17.101.75,224.0.0.251,5353.0,5353.0,17,410
172.17.101.75,224.0.0.251,5353.0,5353.0,17,93
172.17.100.71,151.101.129.91,60153.0,443.0,6,55
172.17.96.133,224.0.0.251,5353.0,5353.0,17,84
172.17.96.133,224.0.0.251,5353.0,5353.0,17,341
151.101.129.91,172.17.100.71,443.0,60153.0,6,66
172.17.96.133,224.0.0.251,5353.0,5353.0,17,84
172.17.96.133,224.0.0.251,5353.0,5353.0,17,341
172.17.96.133,224.0.0.251,5353.0,5353.0,17,341
172.17.96.133,224.0.0.251,5353.0,5353.0,17,341
172.17.99.63,172.17.103.255,57621.0,57621.0,17,86
172.17.100.71,104.19.195.29,58383.0,443.0,6,55
172.17.101.160,224.0.0.251,5353.0,5353.0,17,93
104.19.195.29,172.17.100.71,443.0,58383.0,6,66
172.17.101.160,224.0.0.251,5353.0,5353.0,17,359
172.17.101.160,224.0.0.251,5353.0,5353.0,17,359
172.17.101.75,224.0.0.251,5353.0,5353.0,17,93
172.17.101.63,239.255.255.250,63362.0,1900.0,17,171
172.17.101.160,224.0.0.251,5353.0,5353.0,17,93
172.17.101.63,239.255.255.250,63362.0,1900.0,17,171
172.17.103.46,224.0.0.251,5353.0,5353.0,17,1262
172.17.99.24,239.255.255.250,64813.0,1900.0,17,183
172.17.101.75,224.0.0.251,5353.0,5353.0,17,93
172.17.99.24,239.255.255.250,64813.0,1900.0,17,183
172.17.101.40,224.0.0.251,5353.0,5353.0,17,410
172.17.101.40,224.0.0.251,5353.0,5353.0,17,93
172.17.101.63,239.255.255.250,63362.0,1900.0,17,171
172.17.100.71,52.231.20.35,53943.0,8883.0,6,85
172.17.98.242,239.255.255.250,49460.0,1900.0,17,171
172.17.101.160,224.0.0.251,5353.0,5353.0,17,884
172.17.101.160,224.0.0.251,5353.0,5353.0,17,820
52.231.20.35,172.17.100.71,8883.0,53943.0,6,85
172.17.98.242,224.0.0.251,5353.0,5353.0,17,87
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.100.71,52.231.20.35,53943.0,8883.0,6,54
172.17.102.86,224.0.0.251,5353.0,5353.0,17,115
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
0.0.0.0,255.255.255.255,68.0,67.0,17,364
172.17.101.75,224.0.0.251,5353.0,5353.0,17,475
172.17.101.75,224.0.0.251,5353.0,5353.0,17,411
172.17.101.40,224.0.0.251,5353.0,5353.0,17,93
172.17.100.140,224.0.0.251,5353.0,5353.0,17,411
172.17.100.140,224.0.0.251,5353.0,5353.0,17,86
172.17.96.133,172.17.100.71,54543.0,7680.0,6,66
172.17.100.71,172.17.96.133,7680.0,54543.0,6,66
172.17.96.133,172.17.100.71,54543.0,7680.0,6,60
172.17.100.20,239.255.255.250,55078.0,1900.0,17,216
172.17.96.207,172.17.103.255,138.0,138.0,17,247
172.17.98.242,224.0.0.251,5353.0,5353.0,17,301
172.17.96.133,172.17.100.71,54543.0,7680.0,6,129
172.17.100.71,172.17.96.133,7680.0,54543.0,6,129
172.17.96.133,172.17.100.71,54543.0,7680.0,6,91
172.17.100.71,172.17.96.133,7680.0,54543.0,6,91
172.17.100.71,172.17.96.133,7680.0,54543.0,6,54
172.17.96.133,172.17.100.71,54543.0,7680.0,6,60
172.17.103.24,239.255.255.250,58841.0,1900.0,17,183
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.96.133,172.17.100.71,54543.0,7680.0,6,60
172.17.100.71,172.17.96.133,7680.0,54543.0,6,54
172.17.102.86,224.0.0.251,5353.0,5353.0,17,1290
172.17.101.40,224.0.0.251,5353.0,5353.0,17,93
172.17.100.140,224.0.0.251,5353.0,5353.0,17,86
172.17.101.40,224.0.0.251,5353.0,5353.0,17,475
172.17.101.40,224.0.0.251,5353.0,5353.0,17,411
172.17.100.140,224.0.0.251,5353.0,5353.0,17,86
172.17.97.164,172.17.103.255,52765.0,51007.0,17,186
172.17.102.63,239.255.255.250,60581.0,1900.0,17,216
172.17.101.63,224.0.0.251,5353.0,5353.0,17,103
172.17.100.71,162.159.200.1,60903.0,123.0,17,90
172.17.98.242,172.17.103.255,57621.0,57621.0,17,86
162.159.200.1,172.17.100.71,123.0,60903.0,17,94
172.17.100.140,224.0.0.251,5353.0,5353.0,17,475
172.17.100.140,224.0.0.251,5353.0,5353.0,17,418
172.17.99.148,224.0.0.251,5353.0,5353.0,17,323
172.17.99.148,224.0.0.251,5353.0,5353.0,17,86
172.17.102.86,224.0.0.251,5353.0,5353.0,17,93
172.17.100.20,239.255.255.250,55078.0,1900.0,17,216
172.17.99.63,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.101.191,224.0.0.251,5353.0,5353.0,17,490
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.100.20,239.255.255.250,2200.0,2200.0,17,405
172.17.99.148,224.0.0.251,5353.0,5353.0,17,86
172.17.103.58,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.102.86,224.0.0.251,5353.0,5353.0,17,1290
172.17.99.1,239.255.255.250,60398.0,1900.0,17,183
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
